,Código,Categoría,Serie,Fecha Inicio,Fecha Fin,Última Actualización,Frecuencia
0,PD04649MD,"Reservas internacionales (millones US$)	
         - (9 series)",Posición de cambio,04-01-1999,20-07-2023,21-07-2023,D
1,PD04650MD,"Reservas internacionales (millones US$)	
         - (9 series)",Reservas internacionales netas,04-01-1999,20-07-2023,21-07-2023,D
2,PD04651MD,"Reservas internacionales (millones US$)	
         - (9 series)",Depósitos del sistema financiero en el BCRP,04-01-1999,20-07-2023,21-07-2023,D
3,PD04652MD,"Reservas internacionales (millones US$)	
         - (9 series)",Depósitos de empresas bancarias en el BCRP,04-01-1999,20-07-2023,21-07-2023,D
4,PD04653MD,"Reservas internacionales (millones US$)	
         - (9 series)",Depósitos del Banco de la Nación en el BCRP,04-01-1999,20-07-2023,21-07-2023,D
5,PD04654MD,"Reservas internacionales (millones US$)	
         - (9 series)",Otros depósitos del sistema financiero en el BCRP,04-01-1999,20-07-2023,21-07-2023,D
6,PD04655MD,"Reservas internacionales (millones US$)	
         - (9 series)",Depósitos del sector público en el BCRP,04-01-1999,20-07-2023,21-07-2023,D
7,PD04656MD,"Reservas internacionales (millones US$)	
         - (9 series)",Depósitos de privatización en el BCRP,04-01-1999,20-07-2023,21-07-2023,D
8,PD04657MD,"Reservas internacionales (millones US$)	
         - (9 series)",Otros depósitos del sector público en el BCRP,04-01-1999,20-07-2023,21-07-2023,D
9,PD04658MD,"Operaciones cambiarias y monetarias del BCRP	
         - (19 series)",Operaciones cambiarias BCRP (millones US$),04-01-1995,20-07-2023,21-07-2023,D
10,PD04659MD,"Operaciones cambiarias y monetarias del BCRP	
         - (19 series)",Compras netas en Mesa de Negociación (millones US$),04-01-1995,20-07-2023,21-07-2023,D
11,PD04660MD,"Operaciones cambiarias y monetarias del BCRP	
         - (19 series)",Operaciones swaps netas (millones US$),06-01-1999,20-07-2023,21-07-2023,D
12,PD04661MD,"Operaciones cambiarias y monetarias del BCRP	
         - (19 series)",Compras con compromiso de recompras en ME neto (millones US$),01-01-2000,20-07-2023,21-07-2023,D
13,PD04662MD,"Operaciones cambiarias y monetarias del BCRP	
         - (19 series)",Operaciones con el Sector Público (millones US$),13-01-1999,20-07-2023,21-07-2023,D
14,PD04663MD,"Operaciones cambiarias y monetarias del BCRP	
         - (19 series)",Emisión Primaria (var% mensual),04-01-1999,20-07-2023,21-07-2023,D
15,PD04664MD,"Operaciones cambiarias y monetarias del BCRP	
         - (19 series)",Emisión Primaria (var% 12 meses),04-01-1999,20-07-2023,21-07-2023,D
16,PD04665MD,"Operaciones cambiarias y monetarias del BCRP	
         - (19 series)",Cuenta corrientes de bancos en BCRP (saldo millones S/),04-01-1999,20-07-2023,21-07-2023,D
17,PD04666MD,"Operaciones cambiarias y monetarias del BCRP	
         - (19 series)",Créditos por regulación monetaria (millones S/),04-01-1999,20-07-2023,21-07-2023,D
18,PD04667MD,"Operaciones cambiarias y monetarias del BCRP	
         - (19 series)",Créditos por regulación monetaria (millones US$),04-01-1999,20-07-2023,21-07-2023,D
19,PD04668MD,"Operaciones cambiarias y monetarias del BCRP	
         - (19 series)",Depósitos del sector público en el BCRP (millones S/),04-01-1999,20-07-2023,21-07-2023,D
20,PD04669MD,"Operaciones cambiarias y monetarias del BCRP	
         - (19 series)",Certificados de Depósito BCRP (saldo millones S/),04-01-1999,20-07-2023,21-07-2023,D
21,PD04670MD,"Operaciones cambiarias y monetarias del BCRP	
         - (19 series)","Operaciones de reporte, total (saldo millones S/)",22-09-1997,20-07-2023,21-07-2023,D
22,PD04671MD,"Operaciones cambiarias y monetarias del BCRP	
         - (19 series)","Operaciones de reporte, overnight (saldo millones S/)",21-01-1999,20-07-2023,21-07-2023,D
23,PD04672MD,"Operaciones cambiarias y monetarias del BCRP	
         - (19 series)","Operaciones de reporte, 1 semana (saldo millones S/)",01-01-2000,20-07-2023,21-07-2023,D
24,PD04673MD,"Operaciones cambiarias y monetarias del BCRP	
         - (19 series)","Operaciones de reporte, 2 semanas (saldo millones S/)",01-01-2000,20-07-2023,21-07-2023,D
25,PD04674MD,"Operaciones cambiarias y monetarias del BCRP	
         - (19 series)","Operaciones de reporte, 1 mes (saldo millones S/)",01-01-2000,20-07-2023,21-07-2023,D
26,PD04675MD,"Operaciones cambiarias y monetarias del BCRP	
         - (19 series)","Operaciones de reporte, 3 meses (saldo millones S/)",01-01-2000,20-07-2023,21-07-2023,D
27,PD04676MD,"Operaciones cambiarias y monetarias del BCRP	
         - (19 series)","Operaciones de reporte, directo (saldo millones S/)",01-01-2000,20-07-2023,21-07-2023,D
28,PD37515TD,"Operaciones cambiarias del BCRP con las empresas bancarias (millones US$)	
         - (11 series)",Al Contado - Compras,02-01-2014,20-07-2023,21-07-2023,D
29,PD37516TD,"Operaciones cambiarias del BCRP con las empresas bancarias (millones US$)	
         - (11 series)",Al Contado - Ventas,02-01-2014,20-07-2023,21-07-2023,D
30,PD37517TD,"Operaciones cambiarias del BCRP con las empresas bancarias (millones US$)	
         - (11 series)",Certificados de Depósito Reajustables del BCRP - Emitido,02-01-2014,20-07-2023,21-07-2023,D
31,PD37518TD,"Operaciones cambiarias del BCRP con las empresas bancarias (millones US$)	
         - (11 series)",Certificados de Depósito Reajustables del BCRP - Vencido,02-01-2014,20-07-2023,21-07-2023,D
32,PD37519TD,"Operaciones cambiarias del BCRP con las empresas bancarias (millones US$)	
         - (11 series)",Certificados de Depósito Liquidables en Dólares - Emitido,02-01-2014,20-07-2023,21-07-2023,D
33,PD37520TD,"Operaciones cambiarias del BCRP con las empresas bancarias (millones US$)	
         - (11 series)",Certificados de Depósito Liquidables en Dólares - Vencido,02-01-2014,20-07-2023,21-07-2023,D
34,PD37521TD,"Operaciones cambiarias del BCRP con las empresas bancarias (millones US$)	
         - (11 series)",SWAP Cambiarios del BCRP Venta - Pactado,02-01-2014,20-07-2023,21-07-2023,D
35,PD37522TD,"Operaciones cambiarias del BCRP con las empresas bancarias (millones US$)	
         - (11 series)",SWAP Cambiarios del BCRP Venta - Vencido,02-01-2014,20-07-2023,21-07-2023,D
36,PD37523TD,"Operaciones cambiarias del BCRP con las empresas bancarias (millones US$)	
         - (11 series)",SWAP Cambiarios del BCRP Compra - Pactado,02-01-2014,20-07-2023,21-07-2023,D
37,PD37524TD,"Operaciones cambiarias del BCRP con las empresas bancarias (millones US$)	
         - (11 series)",SWAP Cambiarios del BCRP Compra - Vencido,02-01-2014,20-07-2023,21-07-2023,D
38,PD37525TD,"Operaciones cambiarias del BCRP con las empresas bancarias (millones US$)	
         - (11 series)",REPO Sustitución - Ventas Netas,02-01-2014,20-07-2023,21-07-2023,D
39,PD12301MD,"Tasas de interés	
         - (20 series)",Tasa de Referencia de la Política Monetaria,05-09-2003,21-07-2023,21-07-2023,D
40,PD04677MD,"Tasas de interés	
         - (20 series)","Créditos por regulación monetaria, S/",04-01-1999,20-07-2023,21-07-2023,D
41,PD04678MD,"Tasas de interés	
         - (20 series)","Créditos por regulación monetaria, US$",04-01-1999,04-02-2020,21-07-2023,D
42,PD04679MD,"Tasas de interés	
         - (20 series)",Del saldo de CDBCRP,04-01-1999,20-07-2023,21-07-2023,D
43,PD04680MD,"Tasas de interés	
         - (20 series)",Del saldo de CDV BCRP,11-10-2010,13-06-2023,21-07-2023,D
44,PD04681MD,"Tasas de interés	
         - (20 series)",Del saldo de CDLD BCRP,20-10-2010,04-02-2020,21-07-2023,D
